CodigoPersona,Clase,Descripción,Fecha de adquisición,"Número, cuantía o valor en euros"
35,Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva,Cuenta valores Bankia (50%) a 30/06/2016,01/07/1995,"27,107.57 €"
36,"Seguros de vida, planes de pensiones, rentas temporales y vitalicias",Plan de pensiones Catalunya Caixa Vida,26/07/2012,"12,000.00 €"
36,Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva,Participación en Galcerán Huguet CB (50%),02/02/2007,"50,000.00 €"
36,Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva,"Acciones de Iberdrola, Telefónica y Gas Natural",30/12/2006,"60,000.00 €"
37,Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva,"Participaciones en Casandra, Desarrollo y Animación S.L.",2005,0.00 €
37,Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva,Participaciones en Virgen de los Peligros Inversiones S.L.,2005,0.00 €
38,"Seguros de vida, planes de pensiones, rentas temporales y vitalicias",PPSE (Allianz),2009,"9,414.00 €"
40,"Seguros de vida, planes de pensiones, rentas temporales y vitalicias",Seguro protección familiar (hipoteca),31/05/2011,"106,514.00 €"
41,"Seguros de vida, planes de pensiones, rentas temporales y vitalicias",Plan de pensiones Hermandad Nacional Arquitectos (HNA),2009,2.00 €
41,"Seguros de vida, planes de pensiones, rentas temporales y vitalicias",Seguro de vida La Caixa (vinculado a préstamo),04/07/2016,368.73 €
41,"Seguros de vida, planes de pensiones, rentas temporales y vitalicias",Seguro de vida Banco Sabadell,27/05/2016,50.00 €
42,Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva,Diversas acciones,2012,"1,000.00 €"
42,"Otros bienes patrimoniales (derechos derivados de la propiedad intelectual o industrial, pagarés, etc.)",Préstamo a familia (acreedor),2006,"200,000.00 €"
42,Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva,Fondo de inversión Ibercaja,2002,"6,000.00 €"
46,"Seguros de vida, planes de pensiones, rentas temporales y vitalicias",Caixabank (asociado a la hipoteca - 100% deuda -),26/05/2016,"192,500.00 €"
48,"Seguros de vida, planes de pensiones, rentas temporales y vitalicias",Seguro de vida VR Hipoteca decreciente. Asociado a Hipoteca CajaMar,10/10/2012,"104,141.48 €"
48,Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva,Aportaciones capital CajaMar nº 27,28/01/2008,"1,647.00 €"
48,Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva,Aportaciones capital CajaMar nº 46,21/01/2008,"2,806.00 €"
48,Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva,Acciones Banco Santander,,"3,029.00 €"
48,Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva,Aportaciones capital CajaMar nº 7,28/01/2008,427.00 €
48,Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva,Acciones Telefónica,,700.00 €
48,Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva,Aportaciones capital CajaMar nº 118,27/06/2006,"7,198.00 €"
50,"Seguros de vida, planes de pensiones, rentas temporales y vitalicias",Plan de pensiones La Caixa,2014,"18,000.00 €"
51,"Seguros de vida, planes de pensiones, rentas temporales y vitalicias",Plan de Previsión Social ICAM,2002,"29,749.00 €"
52,"Seguros de vida, planes de pensiones, rentas temporales y vitalicias",Plan de pensiones Ibercaja,24/06/2016,404.92 €
52,Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva,Acciones Telefónica (50%),,526.98 €
56,"Seguros de vida, planes de pensiones, rentas temporales y vitalicias",Seguro vida renovable Bankinter vinculado amortización crédito hipotecario,06/06/2014,
56,"Seguros de vida, planes de pensiones, rentas temporales y vitalicias",Sistema previsión profesional complementario de la Mutualidad Abogacía,,"15,600.00 €"
57,"Otros bienes patrimoniales (derechos derivados de la propiedad intelectual o industrial, pagarés, etc.)",Acción Club de Golf,25/05/2000,
57,Acciones y participaciones de todo tipo en sociedades  e institutciones de inversión colectiva,600 acciones Banco Santander,25/06/2010,"2,286.00 €"
