ONG,TÍTULO PROYECTO,TIPOLOGÍA,PAÍS,AÑO DE EJECUCIÓN,SUBVENCIÓN €
FED.ASOC.PROINMIGRANTES,"Centro de salud ""María Rafols ""comedor nutricional",Cooperación al Desarrollo,GuineaEcuatorial,1995,"18.178,43"
FUNDACIONINTERED,MicroempresasdemujeresMapuches.ComunasCuncoyMelipeuco,Cooperación al Desarrollo,Chile,1995,"131.925,57"
FUNDACIONINTERED,TecnologíaapropiadaenlaautoconstruccióndeviviendasdelCentrodeminusválidosKikesa,Cooperación al Desarrollo,Zaire,1995,"27.484,28"
FUNDACIONINTERED,AyudalogísticaalasescuelassecundariasCatólicasdeKinshasa,Cooperación al Desarrollo,Zaire,1995,"50.896,65"
FUNDACIÓNINTERMON-OXFROM,Prevención del maltrato infantil desde la Escuela,Cooperación al Desarrollo,Perú,1995,"291.490,87"
FUNDACIÓNINTERMON-OXFROM,ComplejoeducativoenunbarriomarginaldeLuanda,Cooperación al Desarrollo,Angola,1995,"156.263,15"
FUNDACIÓNCODESPA-FUTUROENMARCHA,"ProyectodeProducciónAgropecuariaSaostenibleparaelMunicipiodeCajibío,Cauva,Colombia",Cooperación al Desarrollo,Colombia,1995,"74.906,96"
FUNDACIÓNCODESPA-FUTUROENMARCHA,"ImplementacióndelasAulasdeEnfermeríaTécnica,ElectricidadindustrialeindustriadelaAlimentaciónenelInstitutoTécnico",Cooperación al Desarrollo,Perú,1995,"28.241,83"
AMIGOS DEL MUNDO,Casa hogar para niños marginados y desprotegidos en Cajamarca,Cooperación al Desarrollo,Perú,1995,"66.258,06"
ASAMBLEA DE COOPERACIÓN POR LA PAZ,Proyecto de desarrollointegral delamujerenla Diócesis de San Pedro Sula,Cooperación al Desarrollo,Honduras,1995,"167.906,15"
IEPALA .INST. DE ESTUDIOS POLÍTICOS PARA AMÉRICA LATINA Y ÁFRICA,Red solidaria de Producción y Comercialización de Pescado,Cooperación al Desarrollo,GuineaEcuatorial,1995,"92.701,94"
IEPALA.INST.DEESTUDIOSPOLÍTICOSPARAAMÉRICALATINAYÁFRICA,RestablecimientodelTejidoSocialenlasComunidadesRuralesdeChalatemango,Cooperación al Desarrollo,El Salvador,1995,"41.370,24"
PROYDE,ProyectodeinstalacióndemotobombasenHalHal,Cooperación al Desarrollo,Eritrea,1995,"24.878,90"
ALTERNATIVASOLIDARIA-PLENTY,"Promoción del autodesarrollo integrado del pueblo Satere Maue,Amazonia Brasileña,faseII",Cooperación al Desarrollo,Brasil,1995,"49.110,74"
FUTUROSOLIDARIO,"DotacióndeuntallerdezapateríaenelCentroFeyAlegríadeRepúblicaDominicanaenMadreViejaNorte,SanCristobal",Cooperación al Desarrollo,República Dominicana,1995,"9.195,49"
FUNDACIÓNCIPIE.CENTROINVESTIGACIONESYPROMOCIÓNIBEROAMERICA-EUROP,"Centro de Capacitación de mujeres y formación Cooperativa""AssaidaalHorra""",Cooperación al Desarrollo,Marruecos,1995,"137.513,07"
FUNDACIÓNCIPIE.CENTROINVESTIGACIONESYPROMOCIÓNIBEROAMERICA-EUROP,Modernizacióntecnológicaydegestiónenorganizacionescooperativas,Cooperación al Desarrollo,Chile,1995,"60.353,01"
PROSALUS,Programa integral desaludyeducaciónpara lascomunidades campesinasde la Sierra Norte,Cooperación al Desarrollo,Perú,1995,"42.977,19"
JOVENES DEL TERCER MUNDO,Construcción y puesta en marcha de un centro de Promoción y Desarrollo Integral para jóvenes en EláNguma,Cooperación al Desarrollo,GuineaEcuatorial,1995,"190.572,99"
VETERMON. VETERINARIOS SIN FRONTERAS,"Proyectodemejoramientoovino,MicriregóndeSacabamba",Cooperación al Desarrollo,Bolivia,1995,"160.136,47"
PAZ Y COOPERACIÓN,Creación de un centro específico dediseño dentro del centro de apoyo aldiseño ya la artesanía jordanas,Cooperación al Desarrollo,Jordania,1995,"102.682,92"
PAZYCOOPERACIÓN,"Adecuación,montajeyfuncionamientodelCentroparaelMenorenBucaramanga",Cooperación al Desarrollo,Colombia,1995,"120.202,42"
ACISJF-FEDERACIÓNCATÓLICAESPAÑOLASERVICIOSALAJUVENTUDFEMENINA,GranjaAgrícolaGanadera(autogestionada),Cooperación al Desarrollo,Zaire,1995,"3.125,26"
COOPERACIÓNINTERNACIONAL,ProyectodeconstruccióndeHospitalenEngu,Cooperación al Desarrollo,Nigeria,1995,"81.452,17"
COOPERACIÓNINTERNACIONAL,"""ElSalvador"".Campañadeletrinizaciónyatenciónmédicosanitariaencomunidadesrurales",Cooperación al Desarrollo,El Salvador,1995,"69.425,91"
PAZYTERCERMUNDO,ApoyoaldesarrollocomunitarioymunicipalenChalatenango,Cooperación al Desarrollo,El Salvador,1995,"46.309,87"
PAZYTERCERMUNDO,"Apoyoalreasentmintodecomunidadesenmontañadelocotal,cooperativalaconquista",Cooperación al Desarrollo,El Salvador,1995,"50.688,69"
PAZYTERCERMUNDO,"Apoyoalareconstruccióndelacooperativa""LaTierradelQuetzalRL""",Cooperación al Desarrollo,Guatemala,1995,"79.820,57"
AMIGOSDELATIERRA,CapacitaciónparalamejoradelacalidaddevidayeldesarrollosustentablecomunidadesindígenasdelDeltadelRíoPilcomayo,Cooperación al Desarrollo,Paraguay,1995,"132.951,42"
DASS-Asoc.ParaelDesarr.ylaAcc.Soc.Solidaria,ProyectoAsesoríatécnicaycapacióndeMicroempresariosMercadoPersaBioBio,Cooperación al Desarrollo,Chile,1995,"58.851,11"
F.A.I.P.I.I.,ApoyoparalacomercializaciónenlacomunidadindígenadelResguardodeTálaga,Cooperación al Desarrollo,Colombia,1995,"33.378,13"
F.A.I.P.I.I.,ConstrucciónCasadeAprendizajeIndago,Cooperación al Desarrollo,Sudamerica,1995,"49.505,88"
F.A.I.P.I.I.,MicroempresadeConfeccióndelaComunidaddelResguardo.Huila,Cooperación al Desarrollo,Colombia,1995,"7.379,65"
MADRESELVA,"Centrodeacogidayformaciónparachicasdelacalle""CasaMain"".SantaCruzdelaSierrra",Cooperación al Desarrollo,Bolivia,1995,"84.600,74"
ESPAÑA CON ACNUR,Reintegraciónyrehabilitaciónderefugiadosquatemaltecos,Cooperación al Desarrollo,Guatemala,1995,"300.506,05"
ESPAÑA CON ACNUR,EmergenciaRuanda,Cooperación al Desarrollo,AfricaEcuatorial,1995,"300.506,05"
MENSAJEROSDELAPAZ,CentrodeDíaenLima,Cooperación al Desarrollo,Perú,1995,"77.905,79"
FUNDACIÓNPADREARRUPE,ColegioPadrearrupe,Cooperación al Desarrollo,El Salvador,1995,"389.707,96"
ACSURLASSEGOVIAS,Fortalecimiento de la organización campesina a través de un programa de intesificación y comercialización de la producción,Cooperación al Desarrollo,Bolivia,1995,"126.900,81"
ENTRE CULTURAS - FE Y ALEGRIA,Desarrollodeservicioseducativospopularesenzonadealtanecesidad.7aulasenelcolegiodeFeyAlegríanº30deChincha,Cooperación al Desarrollo,Perú,1995,"40.214,92"
ENTRE CULTURAS - FE Y ALEGRIA,FormaciónempresarialycreacióndemicroempresasparajóvenesenMedellínyBello,Cooperación al Desarrollo,Colombia,1995,"155.241,43"
ENTRE CULTURAS - FE Y ALEGRIA,"Construcciónde6aulastallerparaelBachillleratoTécnicoIndustrialdelColegioFeyAlegría""LaPaz""",Cooperación al Desarrollo,Colombia,1995,"63.733,38"
FUNDACION BENEFICA DEL VALLE,"Capacitacióndepromotoreslocalesensalud,higieneynutriciónycreacióndemicroempresasenlazonadeHuancavelica",Cooperación al Desarrollo,Perú,1995,"39.923,12"
OCSI,"EscueladeoficiosUniónEducativa""LaZaragoza""",Cooperación al Desarrollo,Venezuela,1995,"13.476,49"
OCSI,InstalacióndedispensariopopularabasedemedicamentosquímicosymedicinanaturalenlazonasurdeUsulutan,Cooperación al Desarrollo,El Salvador,1995,"24.369,58"
SOLIDARIOS,MejoradelasactuvidadesagropecuariasdenlareservanacionalindígenadePílcomayo(Chacoparaguayo),Cooperación al Desarrollo,Paraguay,1995,"44.199,26"
INTER-ACCIÓN,"Construcciónde20viviendasparaTacuarembo,1tallerdecarpinteríay1centrocívicoparaTacuarembó",Cooperación al Desarrollo,Uruguay,1995,"21.095,52"
INGENIERIA SIN FRONTERAS-ASOCIACION PARA EL DESARROLLO,ProyectoHidrosanitarioenMagolaBarazaniMbulu,Cooperación al Desarrollo,Tanzania,1995,"43.806,27"
ASOCIACION ENTREPUEBLOS,InstalacióndelaboratorioclñinicosbacterológicoydepatologíaparaelCentrodeServiciosMúltiplesparalamujerManagua,Cooperación al Desarrollo,Nicaragua,1995,"47.590,15"
FUNDACION HUMANISMO Y DEMOCRACIA,"CapacitaciónyfinanciaciónparamujerescompesinasdelasregionesSur,SudoesteyNoroestedeRep.Dominicana",Cooperación al Desarrollo,República Dominicana,1995,"224.689,54"
"AESCO. AMÉRICA, ESPAÑA, SOLIDARIDAD Y COOPERACIÓN",CírculosjuvenilesdeprevencióndelaFarmacidependencia,Cooperación al Desarrollo,Colombia,1995,"66.411,84"
CIDEAL,InstalaciónydotacióndeuntallerdeproductoscárnicosparafomentarlaagroindustriaenCundinamarca,Cooperación al Desarrollo,Colombia,1995,"67.619,42"
"MPDL - MOVIMIENTO POR LA PAZ, EL DESARME Y LA LIBERTAD","ProgramadeEducaciónPopular,AlfabetizaciónyDerechosHumanos",Cooperación al Desarrollo,Guatemala,1995,"39.220,79"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,"Fomento de la cabaña de camellos (adquisición,mantenimiento y cría)",Cooperación al Desarrollo,Argelia,1995,"106.058,68"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,Fortalecimiento y desarrollo de un sistema de asistencia prehospitalaria y de emergencias médicas,Cooperación al Desarrollo,Honduras,1995,"405.112,21"
NUEVOS CAMINOS. NOUS CAMINS,ProyectodeReforestaciónenlazonaTurkana,Cooperación al Desarrollo,Kenia,1995,"28.637,81"
NUEVOS CAMINOS. NOUS CAMINS,ProyectodesaludmaternoinfantilenAngarGuten,Cooperación al Desarrollo,Etiopía,1995,"31.012,22"
FUNDACION CANOVAS DEL CASTILLO,EscueladehosteleríayalbergueestudiantildelCentrodeIntegral,Cooperación al Desarrollo,Honduras,1995,"420.708,47"
Asoc.Est.Universitarios (PSEEU),Aevoloestudiante,Sensibilización / Educación para el Desarrollo,Madrid,1995,"96.177,20"
MÉDICOS DEL MUNDO,Atención Sociosanitaria a Inmigrantes extranjeros,Sensibilización / Educación para el Desarrollo,Madrid,1995,"61.303,23"
MERCEDARIOS PROVINCIA DE CASTILLA COMUNIDAD,Casaderefugiadoseinmigrantesmenoresnoacompañados,Sensibilización / Educación para el Desarrollo,Madrid,1995,"17.880,11"
COLEGIO M.INMACULADA DE MADRID- FRANCISCANAS DE LA PURÍSIMA CONCEPCIÓN,ProyectodemejorasocioeducativoparahijosdeinmigrantesacogidosenloshogaresdelCentroMaríaInmaculada,Sensibilización / Educación para el Desarrollo,Madrid,1995,"77.744,59"
APROSERS-ASOCIACIÓN DE PROMOCIÓN DE SERVICIOS SOCIALES,"Formación para inmigrantes,familiasyprofesionales que trabajan con personasdeotrasculturas",Sensibilización / Educación para el Desarrollo,Madrid,1995,"85.783,66"
APRAMP PARA LA ATENCIÓN PREVENCIÓN Y REINSERCION MUJER PROSTITUIDA,Unidadmóvilafavordemujeresinmmigrantesqueejercenlaprostitución,Sensibilización / Educación para el Desarrollo,Madrid,1995,"95.910,92"
KARIBU,ProgramadeIntegraciónyAyudadHumanitaria,Sensibilización / Educación para el Desarrollo,Madrid,1995,"53.910,79"
PARROQUIA HOMBRES NUEVOS DE BOLIVIA,Ayuda urgente para alimentosante la alrmante situación de desnutrición en Bolivia,Ayuda Humanitaria,BOLIVIA,1995,"6.010,12"
RELIGIOSAS PUREZA DE MARÍA,Alimentación infantil y material sanitario en la Misión de Zaire,Ayuda Humanitaria,R.D.CONGO,1995,"14.080,29"
ASOCIACION DE AMIGOS DEL PUEBLO SAHARAUI,Equipamiento deloscentros depreescolar deunaWila yaen los campamentos derefugiadosSaharauis,Cooperación al Desarrollo,Argelia,1996,"31.624,92"
ASOCIACION POR LA PAZ Y ELDESARROLLO,Microempresas asociativas de mujeres en Cochabamba,Cooperación al Desarrollo,Bolivia,1996,"25.242,51"
ASOCIACIÓNTRÓPICOVOLUNTARIOSPARAELDESARROLLO,CentroformaciónprofesionalproductivayeducaciónjuridicaLucreciaPerez,Cooperación al Desarrollo,República Dominicana,1996,"36.353,72"
MISIÓNAMERICA,Centrodeformaciónydesarrollohumanoycomunitario,Cooperación al Desarrollo,Perú,1996,"66.858,71"
CENTRODEESTUDIOSYSOLIDARIDADCONAMÉRICALATINA(CESAL),"Agua potable,saneamiento basicoysaludcomunitaria rural Cajamarca",Cooperación al Desarrollo,Perú,1996,"199.241,38"
CENTRODEESTUDIOSYSOLIDARIDADCONAMÉRICALATINA(CESAL),ConstruccióndeinfraestructuraeducativabásicaenSanPedrodeLlocLaLibertad,Cooperación al Desarrollo,Perú,1996,"114.623,90"
MEDICOS DEL MUNDO,DesarrollodelsitemalocaldesaluddelmunicipioDande.RegióndeBengo,Cooperación al Desarrollo,Angola,1996,"259.180,46"
ASOCIACIÓN COMISIÓN CATÓLICA ESPAÑOLA DE MIGRACIÓN. ACCEM,Centro de acogida a migrantes,Cooperación al Desarrollo,El Salvador,1996,"77.754,14"
COOPERACIÓNSOCIAL,Construcciónypuestaenfuncionamientodeunaescueladeformaciónprofesionalparajóveneszaireñas,Cooperación al Desarrollo,Zaire,1996,"77.530,56"
AMISTAD EUROPEA.PROYECTO SOLIDARIO (ONGD),Alternativadeempleoparaadolescentesquetrabajaenlaclle,Cooperación al Desarrollo,Perú,1996,"10.258,15"
FEDERACIÓN ESPAÑOLA DE RELIGIOSOS ENSEÑANZA .FERE,"Infraestructura escolares ""Carmen Salles ""en la ciudad de Bata",Cooperación al Desarrollo,GuineaEcuatorial,1996,"7.318,07"
FEDERACIÓN ESPAÑOLA DE RELIGIOSOS ENSEÑANZA .FERE,Equipamiento educativos,Cooperación al Desarrollo,GuineaEcuatorial,1996,"5.666,79"
FUNDACION ESPAÑOLA PARA LA COOPERACION. SOLIDARIDAD INTERNACIONAL,CentroexperimentalydecapacitaciónValledeMala,Cooperación al Desarrollo,Perú,1996,"131.456,37"
SAVE THE CHILDREN,Construccióndeuncentroescolaryequipamientobásicopararetornadosindigenasguatemaltecos,Cooperación al Desarrollo,Guatemala,1996,"41.220,72"
MANOS UNIDAS. COMITE CATOLICO DE CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,DesarrollointegradoypopulardelacomarcaruraldeLechecuagos,Cooperación al Desarrollo,Nicaragua,1996,"167.949,28"
MANOS UNIDAS. COMITE CATOLICO DE CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,FortalecimientocapcidadtecnológicaygestióndemicroempresarioscampesinosestrtegiadesarrollomicroregionalenSierrraNortePuebla,Cooperación al Desarrollo,México,1996,"38.563,14"
MANOS UNIDAS. COMITE CATOLICO DE CAMPAÑA CONTRA EL HAMBRE EN EL MUNDO,DesarrolloruralintegradodecomunidadesmarginadasenlaaustralregióndeMagallanes,Cooperación al Desarrollo,Chile,1996,"260.646,93"
LUMENDEI-PRODEIN,"Centroartesanaldetalladoypintura""Nuevaescuelacusqueña""",Cooperación al Desarrollo,Perú,1996,"69.730,28"
FED.ASOC.PROINMIGRANTES,Programa de potabilización del agua y comedor nutricional,Cooperación al Desarrollo,GuineaEcuatorial,1996,"36.060,73"
FUNDACIONINTERED,Nuestrosderechos.Educaciónbásicaenderechoshumanosyatenciónalainfanciamarginada,Cooperación al Desarrollo,Perú,1996,"39.847,10"
FUNDACIONINTERED,YachayTinkuy,Cooperación al Desarrollo,Sudamerica,1996,"21.349,45"
FUNDACIÓNINTERMON-OXFROM,"Programadecapacitación,organizaciónydesarrolloagropecuarioencomunidadesrurales",Cooperación al Desarrollo,Paraguay,1996,"180.303,63"
FUNDACIÓNINTERMON-OXFROM,Apoyo a la formación técnica de jóvenes en el institutode aprendizaje industrial,Cooperación al Desarrollo,Bolivia,1996,"300.506,05"
FUNDACIÓNCODESPA-FUTUROENMARCHA,Educaciónparalasaludynutrición,Cooperación al Desarrollo,Ecuador,1996,"28.358,16"
FUNDACIÓNCODESPA-FUTUROENMARCHA,MejoramientodelaganaderiaenvariaszonasdeldepartamentodeOruro,Cooperación al Desarrollo,Bolivia,1996,"137.957,65"
FUNDACIÓNCODESPA-FUTUROENMARCHA,CapacitacióntecnicadeFamiempresarios,Cooperación al Desarrollo,Sudamerica,1996,"141.237,84"
FUNDACIÓNCODESPA-FUTUROENMARCHA,Apoyoalamujerrural,Cooperación al Desarrollo,Centroamérica,1996,"57.178,79"
ASAMBLEA DE COOPERACIÓN POR LA PAZ,"Integral de construcción de viviendas e instalaciones sanitarias, capacitación para laconstrucción y organización social",Cooperación al Desarrollo,Honduras,1996,"164.678,73"
IEPALA.INST.DEESTUDIOSPOLÍTICOSPARAAMÉRICALATINAYÁFRICA,"Seguridadalimentaria,promociónsocialycapacitaciónenlacomunidaddePachyLasLomas",Cooperación al Desarrollo,Guatemala,1996,"39.842,59"
ALTERNATIVASOLIDARIA-PLENTY,"Desarrolloruralintegrado,cuencadelríoMarañon,provinciadelAltoAmazonas",Cooperación al Desarrollo,Perú,1996,"22.014,07"
FUNDACIÓNPAZYYSOLIDARIDAD,ApoyoparaladefensadelosderechoshumanosdelascomunidadesindígenasChiapas,Cooperación al Desarrollo,México,1996,"52.622,85"
FUNDACIÓNCIPIE.CENTROINVESTIGACIONESYPROMOCIÓNIBEROAMERICA-EUROP,ApoyoaldesarrollolocaldelaComunidaddeCatuche,Cooperación al Desarrollo,Venezuela,1996,"95.160,56"
FUNDACIÓNCIPIE.CENTROINVESTIGACIONESYPROMOCIÓNIBEROAMERICA-EUROP,Programadeayudaalacreacióndemicroempresasenbarriosdesfavorecidosdeldepartamentoadministrativo,Cooperación al Desarrollo,Túnez,1996,"114.483,79"
FUNDACIÓNCIPIE.CENTROINVESTIGACIONESYPROMOCIÓNIBEROAMERICA-EUROP,"Apoyo para la capacitación yformación de cooperativas y creditos a mujeres jefas def amilia,de tres comunidades de Darien",Cooperación al Desarrollo,Panamá,1996,"41.948,84"
PROSALUS,Construccióndemódulossanitariosen6colegiosdeFeyAlegría,Cooperación al Desarrollo,Perú,1996,"72.380,31"
JOVENES DEL TERCER MUNDO,Construcción y puesta en marcha de la segunda parte del centro de promoción y desarrollo integral para jóvenes en el barrio de ElaNguema,Cooperación al Desarrollo,GuineaEcuatorial,1996,"188.459,70"
PAZYCOOPERACIÓN,Propuestadecontinuidaddelcentroeducativoagropecuariointernadocampesino,Cooperación al Desarrollo,Bolivia,1996,"53.955,30"
PAZYCOOPERACIÓN,ConstruccióndesedeparacomunidadterapeuticademenoresadolescentesdelacalledrogodependientesdelaciudaddeBucaramnga,Cooperación al Desarrollo,Colombia,1996,"108.037,26"
COOPERACIÓNINTERNACIONAL,IVprogramadepromociónsocialenlaSierraImbabura.(Tallerdeartesníaparalamujer),Cooperación al Desarrollo,Ecuador,1996,"122.232,75"
COOPERACIÓN INTERNACIONAL,CasadeformacióncomunitariaSantaLuisa,Cooperación al Desarrollo,Guatemala,1996,"31.650,42"
PAZ Y TERCER MUNDO,"Produccióndecultivosalternativosencooperativa""ELRemolino""",Cooperación al Desarrollo,El Salvador,1996,"32.544,66"
AMIGOS DE LA TIERRA,Capacitación para la mejora de la calidad de viday el desarrollo sustentable de las comunidades indigenas del delta del Río Pilcomayo,Cooperación al Desarrollo,Paraguay,1996,"132.951,42"
DASS,InsercciónlaboraldemujeresjóvenesPuertodeSanAntonio,Cooperación al Desarrollo,Chile,1996,"47.126,86"
MADRESELVA,"Centrodepromociónfemenina""MadeleineMorano""",Cooperación al Desarrollo,Zaire,1996,"223.392,18"
ESPAÑA CON ACNUR,ProtecciónyasistenciaarefugiadosguatemaltecosebChiapas,Cooperación al Desarrollo,México,1996,"300.506,05"
ESPAÑA CON ACNUR,Reintegraciónyrehabilitaciónderetornadosguatelmatecos,Cooperación al Desarrollo,Guatemala,1996,"300.506,05"
ESPAÑA CON ACNUR,emergenciaLiberia,Cooperación al Desarrollo,AfricaEcuatorial,1996,"91.879,73"
ASOCIACIÓN  MENSAJEROS DE LA PAZ,Integral de atención amenores en alto riesgo social mediante la puesta en marcha de tres hogares funcionales mixtos,Cooperación al Desarrollo,México,1996,"138.136,78"
ACSURLASSEGOVIAS,"Producción agropecuaria,capacitación técnica alfabetización PopuLar en comunidades indígenas delaltiplano de Chimaltenango",Cooperación al Desarrollo,Guatemala,1996,"156.641,50"
ACSUR LAS SEGOVIAS,"Cultivosemi-intensivo de Camarón de aguadulce,comunidad LasAméricas,Suchitoto",Cooperación al Desarrollo,El Salvador,1996,"93.530,07"
ENTRE CULTURAS - FE Y ALEGRIA,CentrodeaccióncomunitariaenelcomplejoPa`IPuku,Cooperación al Desarrollo,Paraguay,1996,"55.966,49"
ENTRE CULTURAS - FE Y ALEGRIA,"Desarrollo deservicios educativos populares en elbarrio ""ElZapallal""",Cooperación al Desarrollo,Perú,1996,"141.600,80"
SOLIDARIOS PARA EL DESARROLLO,PuentesolidariodemedicamentosymaterialsanitarioparahospitalesydispensariosdeHispanoaméricayAfrica,Cooperación al Desarrollo,Cuba/Camerún,1996,"51.958,88"
INTERACCIÓN,ServicioshigienicosmunicipalesenPotosi,Cooperación al Desarrollo,Bolivia,1996,"39.331,43"
INGENIERIA SIN FRONTERAS-ASOCIACION PARA EL DESARROLLO,HidrosanitarioenMangolaBarazanimbulu,Cooperación al Desarrollo,Tanzania,1996,"64.608,80"
ASOCIACION ENTREPUEBLOS,Introduccióndeaguayletrinizaciónenlaaldea,Cooperación al Desarrollo,Guatemala,1996,"38.973,44"
FUNDACION HUMANISMO Y DEMOCRACIA,DesarrollodeiniciativasparasuperarlapobrezaenlacomunadeNavidad,Cooperación al Desarrollo,Chile,1996,"152.879,92"
FUNDACION HUMANISMO Y DEMOCRACIA,Saludmaternoinfantil,Cooperación al Desarrollo,República Dominicana,1996,"165.968,36"
"AESCO. AMÉRICA, ESPAÑA, SOLIDARIDAD Y COOPERACIÓN",Atenciónalos/lasmenorestrabaladores/asenlasplazasdemercadodelaciudaddePasto,Cooperación al Desarrollo,Colombia,1996,"41.587,77"
CIDEAL,ConstrucciónypuestaenmarchadePanificadorasparaeldesarrolloescolar,Cooperación al Desarrollo,República Dominicana,1996,"212.037,07"
"MPDL - MOVIMIENTO POR LA PAZ, EL DESARME Y LA LIBERTAD",Apoyo a los centros de promoción femenina,Cooperación al Desarrollo,Mauritania,1996,"12.846,63"
ASAMBLEA DE MADRID DE CRUZ ROJA ESPAÑOLA,Comunidadredsanitaria,Cooperación al Desarrollo,Argelia,1996,"79.077,67"
