Fecha de declaración,Número Registro,CodigoPersona,Grupo político,Apellido 1,Apellido 2,Nombre,,,,,,,,,,,,,,,,,,,,,,
6/10/2015,2015/083,33,Grupo Municipal Ahora Madrid,Zapata,Romero,Guillermo,,,,,,,,,,,,,,,,,,,,,,
6/10/2015,2015/090,34,Grupo Municipal Ahora Madrid,Arce,Legua,Rommy,,,,,,,,,,,,,,,,,,,,,,
6/8/2015,2015/065,35,Grupo Municipal Ahora Madrid,Sánchez,Mato,Carlos,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/067,36,Grupo Municipal Ahora Madrid,Galcerán,Huguet,Montserrat,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/069,37,Grupo Municipal Ahora Madrid,Pérez,Ramos,Francisco,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/071,38,Grupo Municipal Ahora Madrid,Gómez,Morante,Esther,,,,,,,,,,,,,,,,,,,,,,
6/11/2015,2015/112,39,Grupo Municipal Ahora Madrid,Barbero,Gutiérrez,José Javier,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/074,40,Grupo Municipal Ahora Madrid,Rodríguez,Martínez,Yolanda,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/073,41,Grupo Municipal Ahora Madrid,Calvo,Del Olmo,José Manuel,,,,,,,,,,,,,,,,,,,,,,
6/11/2015,2015/092,42,Grupo Municipal Socialista de Madrid,Carmona,Sancipriano,Antonio Miguel,,,,,,,,,,,,,,,,,,,,,,
6/11/2015,2015/095,43,Grupo Municipal Socialista de Madrid,Causapié,Lopesino,Purificación,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/57,44,Grupo Municipal Socialista de Madrid,Pérez,Boga,Julio Ransés,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/060,45,Grupo Municipal Socialista de Madrid,González,Fernández,María de las Mercedes,,,,,,,,,,,,,,,,,,,,,,
6/8/2015,2015/038,46,Grupo Municipal Socialista de Madrid,De Benito ,Pérez,Ignacio,,,,,,,,,,,,,,,,,,,,,,
6/10/2015,2015/085,47,Grupo Municipal Socialista de Madrid,Espinar,Mesa-Moles,María del Mar,,,,,,,,,,,,,,,,,,,,,,
6/10/2015,2015/080,48,Grupo Municipal Socialista de Madrid,Dávila,Pérez,José Manuel,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/62,49,Grupo Municipal Socialista de Madrid,Merchán,Mesón,María Carlota,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/061,50,Grupo Municipal Socialista de Madrid,Silva,Buenadicha,Ramón,,,,,,,,,,,,,,,,,,,,,,
6/11/2015,2015/101,51,Grupo Municipal Ciudadano - Partido de la Ciudadanía,Villacís,Sánchez,Begoña,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/072,52,Grupo Municipal Ciudadano - Partido de la Ciudadanía,Redondo ,Rodríguez,Miguel Ángel,,,,,,,,,,,,,,,,,,,,,,
11/16/2015,,53,Grupo Municipal Ciudadano - Partido de la Ciudadanía,Miranda,Esteban,Sofía,,,,,,,,,,,,,,,,,,,,,,
11/16/2015,,54,Grupo Municipal Ciudadano - Partido de la Ciudadanía,Brabezo,Carballo,Sergio,,,,,,,,,,,,,,,,,,,,,,
6/10/2015,2015/084,55,Grupo Municipal Ciudadano - Partido de la Ciudadanía,Domínguez ,Soler,Ana María,,,,,,,,,,,,,,,,,,,,,,
6/9/2015,2015/079,56,Grupo Municipal Ciudadano - Partido de la Ciudadanía,Labrado,Prieto,Bosco,,,,,,,,,,,,,,,,,,,,,,
6/10/2015,2015/088,57,Grupo Municipal Ciudadano - Partido de la Ciudadanía,Saavedra,Ibarrondo,Silvia Elena,,,,,,,,,,,,,,,,,,,,,,
9/27/2016,2016/066,58,Grupo Municipal del Partido Popular,García,Romero,Paloma,,,,,,,,,,,,,,,,,,,,,,Grupo Municipal del Partido Popular
